"","count","range"
"1",49,0
"2",183,10
"3",247,20
"4",75,30
"5",54,40
"6",57,50
"7",14,60
"8",12,70
"9",22,80
"10",16,90
"11",29,100
"12",13,110
"13",12,120
"14",12,130
"15",5,140
"16",3,150
"17",6,160
"18",3,170
"19",4,180
"20",5,190
"21",2,200
"22",11,210
"23",4,230
"24",12,240
"25",1,250
"26",5,290
